harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1599000000,Yogyakarta,112,104,3,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
295000000,Sleman,36,75,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1275000000,Bantul,100,91,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
350000000,Bantul,45,81,2,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
575000000,Bantul,70,120,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
435000000,Bantul,36,72,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
300000000,Sleman,36,80,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
715000000,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
715000000,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
650000000,Yogyakarta,79,79,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
845000000,Sleman,80,124,4,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
